position;company;reviews;clean_position;city;state;python;statistics;mathematics;java;sql;excel;modeling;c++;r;visualization;ml;ai;has_phd;has_bachelor;has_master;;;;;
Development Director;ALS TDI;0;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist;The Hexagon Lavish;0;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Data Scientist;Xpert Staffing;0;data scientist;Atlanta;GA;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Data Analyst;Operation HOPE;44;data analyst;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Assistant Professor -TT - Signal Processing & Machine Learning;Emory University;550;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;
Manager of Data Engineering;McKinsey & Company;385;data engineer;Atlanta;GA;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Product Specialist - Periscope; New Ventures;McKinsey & Company;385;other role;Atlanta;GA;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;
Junior to Mid-level Engineer; Geologist or Environmental Scientist;Wood;899;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;
Analyst - CIB Credit Research;SunTrust;3343;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Senior Associate - Cognitive Data Scientist Natural Language Processing;KPMG;4494;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;
STATISTICAL FORECAST ANALYST;The Home Depot;38844;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Health Scientist III-CPTS;Chenega Corporation;390;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Senior Associate; Data Scientist;KPMG;4494;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Assistant Scientist (AR) SOM;Emory University;550;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;;
Business Intelligence Data Science Analyst - Supply Chain;Newell Brands;912;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist;Cotiviti;104;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;
Senior Structural Engineer-Transmission & Distribution;Burns & McDonnell;152;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Senior Mobile Developer (iOS/Android);Perficient;44;other role;Atlanta;GA;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist;Relus Cloud;0;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Scientist;Inspire Brands;0;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Senior Electrical Engineer;Burns & McDonnell;152;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Sr. Manager; Full Stack Development; KPMG Tax Ignition;KPMG;4494;other role;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;;
Data Scientist;Norfolk Southern Corp;722;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
DATA SCIENTIST - Supply Chain;The Home Depot;38844;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist; Keying & Linking;Equifax;447;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;
Data Scientist;AirSage;0;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist 1 – AP Forensics Team;The Home Depot;0;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Scientist - ICL;Georgia Tech Research Institute;496;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist; Online;The Home Depot;38844;data scientist;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate;Capgemini;5720;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;;
