Entity,Code,Year,extensive_agriculture
Afghanistan,AFG,-8000,None
Afghanistan,AFG,-6000,Minimal
Afghanistan,AFG,-4000,Common
Afghanistan,AFG,-2000,Common
Afghanistan,AFG,-1000,Common
Afghanistan,AFG,0,Common
Afghanistan,AFG,1000,Common
Afghanistan,AFG,1500,Common
Afghanistan,AFG,1750,Common
Afghanistan,AFG,1850,Common
Albania,ALB,-8000,None
Albania,ALB,-6000,Common
Albania,ALB,-4000,Common
Albania,ALB,-2000,Common
Albania,ALB,-1000,Common
Albania,ALB,0,Widespread
Albania,ALB,1000,Common
Albania,ALB,1500,Common
Albania,ALB,1750,Common
Albania,ALB,1850,Common
Algeria,DZA,-8000,None
Algeria,DZA,-6000,None
Algeria,DZA,-4000,Minimal
Algeria,DZA,-2000,Minimal
Algeria,DZA,-1000,Common
Algeria,DZA,0,Common
Algeria,DZA,1000,Common
Algeria,DZA,1500,Common
Algeria,DZA,1750,Common
Algeria,DZA,1850,Common
Angola,AGO,-8000,None
Angola,AGO,-6000,None
Angola,AGO,-4000,None
Angola,AGO,-2000,None
Angola,AGO,-1000,Minimal
Angola,AGO,0,Common
Angola,AGO,1000,Common
Angola,AGO,1500,Widespread
Angola,AGO,1750,Widespread
Angola,AGO,1850,Widespread
Antigua and Barbuda,ATG,-8000,None
Antigua and Barbuda,ATG,-6000,None
Antigua and Barbuda,ATG,-4000,None
Antigua and Barbuda,ATG,-2000,Minimal
Antigua and Barbuda,ATG,-1000,Minimal
Antigua and Barbuda,ATG,0,Common
Antigua and Barbuda,ATG,1000,Common
Antigua and Barbuda,ATG,1500,Common
Antigua and Barbuda,ATG,1750,Common
Antigua and Barbuda,ATG,1850,Common
Armenia,ARM,-8000,None
Armenia,ARM,-6000,Common
Armenia,ARM,-4000,Common
Armenia,ARM,-2000,Common
Armenia,ARM,-1000,Widespread
Armenia,ARM,0,Common
Armenia,ARM,1000,Common
Armenia,ARM,1500,Minimal
Armenia,ARM,1750,Minimal
Armenia,ARM,1850,Minimal
Aruba,ABW,-8000,None
Aruba,ABW,-6000,None
Aruba,ABW,-4000,None
Aruba,ABW,-2000,Minimal
Aruba,ABW,-1000,Minimal
Aruba,ABW,0,Common
Aruba,ABW,1000,Common
Aruba,ABW,1500,Common
Aruba,ABW,1750,Common
Aruba,ABW,1850,Common
Australia,AUS,-8000,None
Australia,AUS,-6000,None
Australia,AUS,-4000,None
Australia,AUS,-2000,None
Australia,AUS,-1000,None
Australia,AUS,0,None
Australia,AUS,1000,None
Australia,AUS,1500,None
Australia,AUS,1750,None
Australia,AUS,1850,Common
Austria,AUT,-8000,None
Austria,AUT,-6000,None
Austria,AUT,-4000,Widespread
Austria,AUT,-2000,Widespread
Austria,AUT,-1000,Widespread
Austria,AUT,0,Widespread
Austria,AUT,1000,Widespread
Austria,AUT,1500,Widespread
Austria,AUT,1750,Minimal
Austria,AUT,1850,Minimal
Azerbaijan,AZE,-8000,None
Azerbaijan,AZE,-6000,Common
Azerbaijan,AZE,-4000,Common
Azerbaijan,AZE,-2000,Common
Azerbaijan,AZE,-1000,Widespread
Azerbaijan,AZE,0,Common
Azerbaijan,AZE,1000,Common
Azerbaijan,AZE,1500,Minimal
Azerbaijan,AZE,1750,Minimal
Azerbaijan,AZE,1850,Minimal
Bahamas,BHS,-8000,None
Bahamas,BHS,-6000,None
Bahamas,BHS,-4000,None
Bahamas,BHS,-2000,Minimal
Bahamas,BHS,-1000,Minimal
Bahamas,BHS,0,Common
Bahamas,BHS,1000,Common
Bahamas,BHS,1500,Common
Bahamas,BHS,1750,Common
Bahamas,BHS,1850,Common
Bangladesh,BGD,-8000,None
Bangladesh,BGD,-6000,None
Bangladesh,BGD,-4000,None
Bangladesh,BGD,-2000,Minimal
Bangladesh,BGD,-1000,Minimal
Bangladesh,BGD,0,Minimal
Bangladesh,BGD,1000,Minimal
Bangladesh,BGD,1500,Minimal
Bangladesh,BGD,1750,Minimal
Bangladesh,BGD,1850,Minimal
Barbados,BRB,-8000,None
Barbados,BRB,-6000,None
Barbados,BRB,-4000,None
Barbados,BRB,-2000,Minimal
Barbados,BRB,-1000,Minimal
Barbados,BRB,0,Common
Barbados,BRB,1000,Common
Barbados,BRB,1500,Common
Barbados,BRB,1750,Common
Barbados,BRB,1850,Common
Belarus,BLR,-8000,None
Belarus,BLR,-6000,None
Belarus,BLR,-4000,None
Belarus,BLR,-2000,Common
Belarus,BLR,-1000,Common
Belarus,BLR,0,Common
Belarus,BLR,1000,Common
Belarus,BLR,1500,Common
Belarus,BLR,1750,Common
Belarus,BLR,1850,Common
Belgium,BEL,-8000,None
Belgium,BEL,-6000,None
Belgium,BEL,-4000,Widespread
Belgium,BEL,-2000,Widespread
Belgium,BEL,-1000,Widespread
Belgium,BEL,0,Widespread
Belgium,BEL,1000,Widespread
Belgium,BEL,1500,Widespread
Belgium,BEL,1750,Minimal
Belgium,BEL,1850,Minimal
Benin,BEN,-8000,None
Benin,BEN,-6000,None
Benin,BEN,-4000,None
Benin,BEN,-2000,Minimal
Benin,BEN,-1000,Minimal
Benin,BEN,0,Common
Benin,BEN,1000,Common
Benin,BEN,1500,Minimal
Benin,BEN,1750,Minimal
Benin,BEN,1850,Minimal
Bhutan,BTN,-8000,None
Bhutan,BTN,-6000,None
Bhutan,BTN,-4000,Minimal
Bhutan,BTN,-2000,Common
Bhutan,BTN,-1000,Common
Bhutan,BTN,0,Common
Bhutan,BTN,1000,Widespread
Bhutan,BTN,1500,Widespread
Bhutan,BTN,1750,Widespread
Bhutan,BTN,1850,Widespread
Bosnia and Herzegovina,BIH,-8000,None
Bosnia and Herzegovina,BIH,-6000,Common
Bosnia and Herzegovina,BIH,-4000,Common
Bosnia and Herzegovina,BIH,-2000,Common
Bosnia and Herzegovina,BIH,-1000,Common
Bosnia and Herzegovina,BIH,0,Widespread
Bosnia and Herzegovina,BIH,1000,Common
Bosnia and Herzegovina,BIH,1500,Common
Bosnia and Herzegovina,BIH,1750,Common
Bosnia and Herzegovina,BIH,1850,Common
Botswana,BWA,-8000,None
Botswana,BWA,-6000,None
Botswana,BWA,-4000,None
Botswana,BWA,-2000,None
Botswana,BWA,-1000,None
Botswana,BWA,0,None
Botswana,BWA,1000,Common
Botswana,BWA,1500,Common
Botswana,BWA,1750,Common
Botswana,BWA,1850,Common
Brazil,BRA,-8000,None
Brazil,BRA,-6000,None
Brazil,BRA,-4000,Minimal
Brazil,BRA,-2000,Minimal
Brazil,BRA,-1000,Common
Brazil,BRA,0,Common
Brazil,BRA,1000,Common
Brazil,BRA,1500,Common
Brazil,BRA,1750,Common
Brazil,BRA,1850,Common
Bulgaria,BGR,-8000,None
Bulgaria,BGR,-6000,Common
Bulgaria,BGR,-4000,Minimal
Bulgaria,BGR,-2000,Minimal
Bulgaria,BGR,-1000,Minimal
Bulgaria,BGR,0,Minimal
Bulgaria,BGR,1000,Common
Bulgaria,BGR,1500,Minimal
Bulgaria,BGR,1750,Minimal
Bulgaria,BGR,1850,Minimal
Burkina Faso,BFA,-8000,None
Burkina Faso,BFA,-6000,None
Burkina Faso,BFA,-4000,None
Burkina Faso,BFA,-2000,Minimal
Burkina Faso,BFA,-1000,Common
Burkina Faso,BFA,0,Widespread
Burkina Faso,BFA,1000,Minimal
Burkina Faso,BFA,1500,Minimal
Burkina Faso,BFA,1750,Minimal
Burkina Faso,BFA,1850,Minimal
Burundi,BDI,-8000,None
Burundi,BDI,-6000,None
Burundi,BDI,-4000,None
Burundi,BDI,-2000,None
Burundi,BDI,-1000,None
Burundi,BDI,0,Common
Burundi,BDI,1000,Common
Burundi,BDI,1500,Widespread
Burundi,BDI,1750,Widespread
Burundi,BDI,1850,Widespread
Cambodia,KHM,-8000,None
Cambodia,KHM,-6000,None
Cambodia,KHM,-4000,None
Cambodia,KHM,-2000,Minimal
Cambodia,KHM,-1000,Common
Cambodia,KHM,0,Common
Cambodia,KHM,1000,Common
Cambodia,KHM,1500,Widespread
Cambodia,KHM,1750,Widespread
Cambodia,KHM,1850,Widespread
Cameroon,CMR,-8000,None
Cameroon,CMR,-6000,None
Cameroon,CMR,-4000,None
Cameroon,CMR,-2000,None
Cameroon,CMR,-1000,Common
Cameroon,CMR,0,Widespread
Cameroon,CMR,1000,Widespread
Cameroon,CMR,1500,Widespread
Cameroon,CMR,1750,Widespread
Cameroon,CMR,1850,Common
Canada,CAN,-8000,None
Canada,CAN,-6000,None
Canada,CAN,-4000,None
Canada,CAN,-2000,None
Canada,CAN,-1000,None
Canada,CAN,0,None
Canada,CAN,1000,Common
Canada,CAN,1500,Minimal
Canada,CAN,1750,Minimal
Canada,CAN,1850,Minimal
Cayman Islands,CYM,-8000,None
Cayman Islands,CYM,-6000,None
Cayman Islands,CYM,-4000,None
Cayman Islands,CYM,-2000,Minimal
Cayman Islands,CYM,-1000,Minimal
Cayman Islands,CYM,0,Common
Cayman Islands,CYM,1000,Common
Cayman Islands,CYM,1500,Common
Cayman Islands,CYM,1750,Common
Cayman Islands,CYM,1850,Common
Central African Republic,CAF,-8000,None
Central African Republic,CAF,-6000,None
Central African Republic,CAF,-4000,None
Central African Republic,CAF,-2000,None
Central African Republic,CAF,-1000,None
Central African Republic,CAF,0,Common
Central African Republic,CAF,1000,Widespread
Central African Republic,CAF,1500,Common
Central African Republic,CAF,1750,Common
Central African Republic,CAF,1850,Common
Chad,TCD,-8000,None
Chad,TCD,-6000,None
Chad,TCD,-4000,None
Chad,TCD,-2000,None
Chad,TCD,-1000,None
Chad,TCD,0,Common
Chad,TCD,1000,Widespread
Chad,TCD,1500,Common
Chad,TCD,1750,Common
Chad,TCD,1850,Common
China,CHN,-8000,None
China,CHN,-6000,Common
China,CHN,-4000,Widespread
China,CHN,-2000,Common
China,CHN,-1000,Widespread
China,CHN,0,Widespread
China,CHN,1000,Common
China,CHN,1500,Common
China,CHN,1750,Common
China,CHN,1850,Minimal
Congo,COG,-8000,None
Congo,COG,-6000,None
Congo,COG,-4000,None
Congo,COG,-2000,None
Congo,COG,-1000,Common
Congo,COG,0,Widespread
Congo,COG,1000,Widespread
Congo,COG,1500,Widespread
Congo,COG,1750,Widespread
Congo,COG,1850,Common
Costa Rica,CRI,-8000,None
Costa Rica,CRI,-6000,Minimal
Costa Rica,CRI,-4000,Minimal
