Entity,Code,Year,foraging
Afghanistan,AFG,-8000,Widespread
Afghanistan,AFG,-6000,Widespread
Afghanistan,AFG,-4000,Common
Afghanistan,AFG,-2000,Minimal
Afghanistan,AFG,-1000,Minimal
Afghanistan,AFG,0,Minimal
Afghanistan,AFG,1000,None
Afghanistan,AFG,1500,None
Afghanistan,AFG,1750,None
Afghanistan,AFG,1850,None
Albania,ALB,-8000,Widespread
Albania,ALB,-6000,Common
Albania,ALB,-4000,Common
Albania,ALB,-2000,Minimal
Albania,ALB,-1000,Minimal
Albania,ALB,0,Minimal
Albania,ALB,1000,Minimal
Albania,ALB,1500,Minimal
Albania,ALB,1750,Minimal
Albania,ALB,1850,Minimal
Algeria,DZA,-8000,Widespread
Algeria,DZA,-6000,Widespread
Algeria,DZA,-4000,Common
Algeria,DZA,-2000,Minimal
Algeria,DZA,-1000,None
Algeria,DZA,0,None
Algeria,DZA,1000,None
Algeria,DZA,1500,None
Algeria,DZA,1750,None
Algeria,DZA,1850,None
Angola,AGO,-8000,Widespread
Angola,AGO,-6000,Widespread
Angola,AGO,-4000,Widespread
Angola,AGO,-2000,Widespread
Angola,AGO,-1000,Widespread
Angola,AGO,0,Widespread
Angola,AGO,1000,Widespread
Angola,AGO,1500,Common
Angola,AGO,1750,Minimal
Angola,AGO,1850,Minimal
Antigua and Barbuda,ATG,-8000,None
Antigua and Barbuda,ATG,-6000,Minimal
Antigua and Barbuda,ATG,-4000,Minimal
Antigua and Barbuda,ATG,-2000,Common
Antigua and Barbuda,ATG,-1000,Common
Antigua and Barbuda,ATG,0,Widespread
Antigua and Barbuda,ATG,1000,Widespread
Antigua and Barbuda,ATG,1500,Widespread
Antigua and Barbuda,ATG,1750,Common
Antigua and Barbuda,ATG,1850,Common
Armenia,ARM,-8000,Common
Armenia,ARM,-6000,Common
Armenia,ARM,-4000,Common
Armenia,ARM,-2000,Common
Armenia,ARM,-1000,Common
Armenia,ARM,0,Common
Armenia,ARM,1000,Common
Armenia,ARM,1500,Minimal
Armenia,ARM,1750,Minimal
Armenia,ARM,1850,Minimal
Aruba,ABW,-8000,None
Aruba,ABW,-6000,Minimal
Aruba,ABW,-4000,Minimal
Aruba,ABW,-2000,Common
Aruba,ABW,-1000,Common
Aruba,ABW,0,Widespread
Aruba,ABW,1000,Widespread
Aruba,ABW,1500,Widespread
Aruba,ABW,1750,Common
Aruba,ABW,1850,Common
Australia,AUS,-8000,Widespread
Australia,AUS,-6000,Widespread
Australia,AUS,-4000,Widespread
Australia,AUS,-2000,Widespread
Australia,AUS,-1000,Widespread
Australia,AUS,0,Widespread
Australia,AUS,1000,Widespread
Australia,AUS,1500,Widespread
Australia,AUS,1750,Widespread
Australia,AUS,1850,Common
Austria,AUT,-8000,Widespread
Austria,AUT,-6000,Widespread
Austria,AUT,-4000,Common
Austria,AUT,-2000,Minimal
Austria,AUT,-1000,Minimal
Austria,AUT,0,Minimal
Austria,AUT,1000,Minimal
Austria,AUT,1500,Minimal
Austria,AUT,1750,Minimal
Austria,AUT,1850,Minimal
Azerbaijan,AZE,-8000,Common
Azerbaijan,AZE,-6000,Common
Azerbaijan,AZE,-4000,Common
Azerbaijan,AZE,-2000,Common
Azerbaijan,AZE,-1000,Common
Azerbaijan,AZE,0,Common
Azerbaijan,AZE,1000,Common
Azerbaijan,AZE,1500,Minimal
Azerbaijan,AZE,1750,Minimal
Azerbaijan,AZE,1850,Minimal
Bahamas,BHS,-8000,None
Bahamas,BHS,-6000,Minimal
Bahamas,BHS,-4000,Minimal
Bahamas,BHS,-2000,Common
Bahamas,BHS,-1000,Common
Bahamas,BHS,0,Widespread
Bahamas,BHS,1000,Widespread
Bahamas,BHS,1500,Widespread
Bahamas,BHS,1750,Common
Bahamas,BHS,1850,Common
Bangladesh,BGD,-8000,Common
Bangladesh,BGD,-6000,Common
Bangladesh,BGD,-4000,Common
Bangladesh,BGD,-2000,Common
Bangladesh,BGD,-1000,Common
Bangladesh,BGD,0,Common
Bangladesh,BGD,1000,Minimal
Bangladesh,BGD,1500,Minimal
Bangladesh,BGD,1750,Minimal
Bangladesh,BGD,1850,Minimal
Barbados,BRB,-8000,None
Barbados,BRB,-6000,Minimal
Barbados,BRB,-4000,Minimal
Barbados,BRB,-2000,Common
Barbados,BRB,-1000,Common
Barbados,BRB,0,Widespread
Barbados,BRB,1000,Widespread
Barbados,BRB,1500,Widespread
Barbados,BRB,1750,Common
Barbados,BRB,1850,Common
Belarus,BLR,-8000,Widespread
Belarus,BLR,-6000,Widespread
Belarus,BLR,-4000,Widespread
Belarus,BLR,-2000,Common
Belarus,BLR,-1000,Common
Belarus,BLR,0,Common
Belarus,BLR,1000,Common
Belarus,BLR,1500,Minimal
Belarus,BLR,1750,Minimal
Belarus,BLR,1850,Minimal
Belgium,BEL,-8000,Widespread
Belgium,BEL,-6000,Widespread
Belgium,BEL,-4000,Common
Belgium,BEL,-2000,Minimal
Belgium,BEL,-1000,Minimal
Belgium,BEL,0,Minimal
Belgium,BEL,1000,Minimal
Belgium,BEL,1500,Minimal
Belgium,BEL,1750,Minimal
Belgium,BEL,1850,Minimal
Benin,BEN,-8000,Widespread
Benin,BEN,-6000,Widespread
Benin,BEN,-4000,Widespread
Benin,BEN,-2000,Widespread
Benin,BEN,-1000,Widespread
Benin,BEN,0,Widespread
Benin,BEN,1000,Common
Benin,BEN,1500,Common
Benin,BEN,1750,Common
Benin,BEN,1850,Common
Bhutan,BTN,-8000,Widespread
Bhutan,BTN,-6000,Widespread
Bhutan,BTN,-4000,Widespread
Bhutan,BTN,-2000,Widespread
Bhutan,BTN,-1000,Common
Bhutan,BTN,0,Common
Bhutan,BTN,1000,Minimal
Bhutan,BTN,1500,Minimal
Bhutan,BTN,1750,Minimal
Bhutan,BTN,1850,Minimal
Bosnia and Herzegovina,BIH,-8000,Widespread
Bosnia and Herzegovina,BIH,-6000,Common
Bosnia and Herzegovina,BIH,-4000,Common
Bosnia and Herzegovina,BIH,-2000,Minimal
Bosnia and Herzegovina,BIH,-1000,Minimal
Bosnia and Herzegovina,BIH,0,Minimal
Bosnia and Herzegovina,BIH,1000,Minimal
Bosnia and Herzegovina,BIH,1500,Minimal
Bosnia and Herzegovina,BIH,1750,Minimal
Bosnia and Herzegovina,BIH,1850,Minimal
Botswana,BWA,-8000,Widespread
Botswana,BWA,-6000,Widespread
Botswana,BWA,-4000,Widespread
Botswana,BWA,-2000,Widespread
Botswana,BWA,-1000,Widespread
Botswana,BWA,0,Widespread
Botswana,BWA,1000,Common
Botswana,BWA,1500,Common
Botswana,BWA,1750,Common
Botswana,BWA,1850,Common
Brazil,BRA,-8000,Minimal
Brazil,BRA,-6000,Common
Brazil,BRA,-4000,Common
Brazil,BRA,-2000,Widespread
Brazil,BRA,-1000,Widespread
Brazil,BRA,0,Widespread
Brazil,BRA,1000,Common
Brazil,BRA,1500,Widespread
