Entity,Code,Year,pastoralism
Afghanistan,AFG,-8000,None
Afghanistan,AFG,-6000,None
Afghanistan,AFG,-4000,Common
Afghanistan,AFG,-2000,Widespread
Afghanistan,AFG,-1000,Widespread
Afghanistan,AFG,0,Widespread
Afghanistan,AFG,1000,Widespread
Afghanistan,AFG,1500,Widespread
Afghanistan,AFG,1750,Widespread
Afghanistan,AFG,1850,Widespread
Albania,ALB,-8000,None
Albania,ALB,-6000,Common
Albania,ALB,-4000,Widespread
Albania,ALB,-2000,Widespread
Albania,ALB,-1000,Widespread
Albania,ALB,0,Widespread
Albania,ALB,1000,Widespread
Albania,ALB,1500,Widespread
Albania,ALB,1750,Widespread
Albania,ALB,1850,Widespread
Algeria,DZA,-8000,None
Algeria,DZA,-6000,Minimal
Algeria,DZA,-4000,Common
Algeria,DZA,-2000,Widespread
Algeria,DZA,-1000,Minimal
Algeria,DZA,0,Minimal
Algeria,DZA,1000,Minimal
Algeria,DZA,1500,Minimal
Algeria,DZA,1750,Minimal
Algeria,DZA,1850,Minimal
Angola,AGO,-8000,None
Angola,AGO,-6000,None
Angola,AGO,-4000,None
Angola,AGO,-2000,None
Angola,AGO,-1000,None
Angola,AGO,0,Minimal
Angola,AGO,1000,Common
Angola,AGO,1500,Common
Angola,AGO,1750,Common
Angola,AGO,1850,Common
Antigua and Barbuda,ATG,-8000,None
Antigua and Barbuda,ATG,-6000,None
Antigua and Barbuda,ATG,-4000,None
Antigua and Barbuda,ATG,-2000,None
Antigua and Barbuda,ATG,-1000,None
Antigua and Barbuda,ATG,0,None
Antigua and Barbuda,ATG,1000,None
Antigua and Barbuda,ATG,1500,None
Antigua and Barbuda,ATG,1750,Minimal
Antigua and Barbuda,ATG,1850,Common
Armenia,ARM,-8000,Minimal
Armenia,ARM,-6000,Common
Armenia,ARM,-4000,Common
Armenia,ARM,-2000,Common
Armenia,ARM,-1000,Widespread
Armenia,ARM,0,Widespread
Armenia,ARM,1000,Widespread
Armenia,ARM,1500,Widespread
Armenia,ARM,1750,Widespread
Armenia,ARM,1850,Common
Aruba,ABW,-8000,None
Aruba,ABW,-6000,None
Aruba,ABW,-4000,None
Aruba,ABW,-2000,None
Aruba,ABW,-1000,None
Aruba,ABW,0,None
Aruba,ABW,1000,None
Aruba,ABW,1500,None
Aruba,ABW,1750,Minimal
Aruba,ABW,1850,Common
Australia,AUS,-8000,None
Australia,AUS,-6000,None
Australia,AUS,-4000,None
Australia,AUS,-2000,None
Australia,AUS,-1000,None
Australia,AUS,0,None
Australia,AUS,1000,None
Australia,AUS,1500,None
Australia,AUS,1750,None
Australia,AUS,1850,Widespread
Austria,AUT,-8000,None
Austria,AUT,-6000,Minimal
Austria,AUT,-4000,Common
Austria,AUT,-2000,Widespread
Austria,AUT,-1000,Widespread
Austria,AUT,0,Widespread
Austria,AUT,1000,Widespread
Austria,AUT,1500,Widespread
Austria,AUT,1750,Widespread
Austria,AUT,1850,Widespread
Azerbaijan,AZE,-8000,Minimal
Azerbaijan,AZE,-6000,Common
Azerbaijan,AZE,-4000,Common
Azerbaijan,AZE,-2000,Common
Azerbaijan,AZE,-1000,Widespread
Azerbaijan,AZE,0,Widespread
Azerbaijan,AZE,1000,Widespread
Azerbaijan,AZE,1500,Widespread
Azerbaijan,AZE,1750,Widespread
Azerbaijan,AZE,1850,Common
Bahamas,BHS,-8000,None
Bahamas,BHS,-6000,None
Bahamas,BHS,-4000,None
Bahamas,BHS,-2000,None
Bahamas,BHS,-1000,None
Bahamas,BHS,0,None
Bahamas,BHS,1000,None
Bahamas,BHS,1500,None
Bahamas,BHS,1750,Minimal
Bahamas,BHS,1850,Common
Bangladesh,BGD,-8000,None
Bangladesh,BGD,-6000,None
Bangladesh,BGD,-4000,None
Bangladesh,BGD,-2000,Minimal
Bangladesh,BGD,-1000,Common
Bangladesh,BGD,0,Common
Bangladesh,BGD,1000,Common
Bangladesh,BGD,1500,Common
Bangladesh,BGD,1750,Common
Bangladesh,BGD,1850,Common
Barbados,BRB,-8000,None
Barbados,BRB,-6000,None
Barbados,BRB,-4000,None
Barbados,BRB,-2000,None
Barbados,BRB,-1000,None
Barbados,BRB,0,None
Barbados,BRB,1000,None
Barbados,BRB,1500,None
Barbados,BRB,1750,Minimal
Barbados,BRB,1850,Common
Belarus,BLR,-8000,None
Belarus,BLR,-6000,None
Belarus,BLR,-4000,Minimal
Belarus,BLR,-2000,Widespread
Belarus,BLR,-1000,Widespread
Belarus,BLR,0,Widespread
Belarus,BLR,1000,Widespread
Belarus,BLR,1500,Widespread
Belarus,BLR,1750,Widespread
Belarus,BLR,1850,Widespread
Belgium,BEL,-8000,None
Belgium,BEL,-6000,Minimal
Belgium,BEL,-4000,Common
Belgium,BEL,-2000,Widespread
Belgium,BEL,-1000,Widespread
Belgium,BEL,0,Widespread
Belgium,BEL,1000,Widespread
Belgium,BEL,1500,Widespread
Belgium,BEL,1750,Widespread
Belgium,BEL,1850,Widespread
Benin,BEN,-8000,None
Benin,BEN,-6000,None
Benin,BEN,-4000,None
Benin,BEN,-2000,None
Benin,BEN,-1000,None
Benin,BEN,0,Minimal
Benin,BEN,1000,Common
Benin,BEN,1500,Common
Benin,BEN,1750,Common
Benin,BEN,1850,Common
Bhutan,BTN,-8000,None
Bhutan,BTN,-6000,None
Bhutan,BTN,-4000,None
Bhutan,BTN,-2000,None
Bhutan,BTN,-1000,None
Bhutan,BTN,0,Minimal
Bhutan,BTN,1000,Minimal
Bhutan,BTN,1500,Minimal
Bhutan,BTN,1750,Minimal
Bhutan,BTN,1850,Minimal
Bosnia and Herzegovina,BIH,-8000,None
Bosnia and Herzegovina,BIH,-6000,Common
Bosnia and Herzegovina,BIH,-4000,Widespread
Bosnia and Herzegovina,BIH,-2000,Widespread
Bosnia and Herzegovina,BIH,-1000,Widespread
Bosnia and Herzegovina,BIH,0,Widespread
Bosnia and Herzegovina,BIH,1000,Widespread
Bosnia and Herzegovina,BIH,1500,Widespread
Bosnia and Herzegovina,BIH,1750,Widespread
Bosnia and Herzegovina,BIH,1850,Widespread
Botswana,BWA,-8000,None
Botswana,BWA,-6000,None
Botswana,BWA,-4000,None
Botswana,BWA,-2000,None
Botswana,BWA,-1000,None
Botswana,BWA,0,Minimal
Botswana,BWA,1000,Common
Botswana,BWA,1500,Common
Botswana,BWA,1750,Common
Botswana,BWA,1850,Widespread
Brazil,BRA,-8000,None
Brazil,BRA,-6000,None
Brazil,BRA,-4000,None
Brazil,BRA,-2000,None
Brazil,BRA,-1000,None
Brazil,BRA,0,None
Brazil,BRA,1000,None
Brazil,BRA,1500,None
Brazil,BRA,1750,Minimal
Brazil,BRA,1850,Common
Bulgaria,BGR,-8000,None
Bulgaria,BGR,-6000,Common
Bulgaria,BGR,-4000,Widespread
Bulgaria,BGR,-2000,Widespread
Bulgaria,BGR,-1000,Widespread
Bulgaria,BGR,0,Widespread
Bulgaria,BGR,1000,Common
Bulgaria,BGR,1500,Widespread
Bulgaria,BGR,1750,Widespread
Bulgaria,BGR,1850,Widespread
Burkina Faso,BFA,-8000,None
Burkina Faso,BFA,-6000,None
Burkina Faso,BFA,-4000,None
Burkina Faso,BFA,-2000,None
Burkina Faso,BFA,-1000,None
Burkina Faso,BFA,0,Common
Burkina Faso,BFA,1000,Common
Burkina Faso,BFA,1500,Widespread
Burkina Faso,BFA,1750,Widespread
Burkina Faso,BFA,1850,Widespread
Burundi,BDI,-8000,None
Burundi,BDI,-6000,None
Burundi,BDI,-4000,None
Burundi,BDI,-2000,Minimal
Burundi,BDI,-1000,Common
Burundi,BDI,0,Common
Burundi,BDI,1000,Common
Burundi,BDI,1500,Common
Burundi,BDI,1750,Common
Burundi,BDI,1850,Common
Cambodia,KHM,-8000,None
Cambodia,KHM,-6000,None
Cambodia,KHM,-4000,None
Cambodia,KHM,-2000,None
Cambodia,KHM,-1000,None
Cambodia,KHM,0,None
Cambodia,KHM,1000,None
Cambodia,KHM,1500,None
Cambodia,KHM,1750,None
Cambodia,KHM,1850,None
Cameroon,CMR,-8000,None
Cameroon,CMR,-6000,None
Cameroon,CMR,-4000,None
Cameroon,CMR,-2000,Minimal
Cameroon,CMR,-1000,Minimal
Cameroon,CMR,0,Minimal
Cameroon,CMR,1000,Minimal
Cameroon,CMR,1500,Common
Cameroon,CMR,1750,Common
Cameroon,CMR,1850,Common
Canada,CAN,-8000,None
Canada,CAN,-6000,None
Canada,CAN,-4000,None
Canada,CAN,-2000,None
Canada,CAN,-1000,None
Canada,CAN,0,None
Canada,CAN,1000,None
Canada,CAN,1500,None
Canada,CAN,1750,None
Canada,CAN,1850,Common
Cayman Islands,CYM,-8000,None
Cayman Islands,CYM,-6000,None
Cayman Islands,CYM,-4000,None
Cayman Islands,CYM,-2000,None
Cayman Islands,CYM,-1000,None
Cayman Islands,CYM,0,None
Cayman Islands,CYM,1000,None
Cayman Islands,CYM,1500,None
Cayman Islands,CYM,1750,Minimal
Cayman Islands,CYM,1850,Common
Central African Republic,CAF,-8000,None
Central African Republic,CAF,-6000,None
Central African Republic,CAF,-4000,Minimal
Central African Republic,CAF,-2000,Common
Central African Republic,CAF,-1000,Common
Central African Republic,CAF,0,Widespread
Central African Republic,CAF,1000,Widespread
Central African Republic,CAF,1500,Widespread
Central African Republic,CAF,1750,Widespread
Central African Republic,CAF,1850,Widespread
Chad,TCD,-8000,None
Chad,TCD,-6000,None
Chad,TCD,-4000,Minimal
Chad,TCD,-2000,Common
Chad,TCD,-1000,Common
Chad,TCD,0,Widespread
Chad,TCD,1000,Widespread
Chad,TCD,1500,Widespread
Chad,TCD,1750,Widespread
Chad,TCD,1850,Widespread
China,CHN,-8000,None
China,CHN,-6000,None
China,CHN,-4000,None
China,CHN,-2000,None
China,CHN,-1000,None
China,CHN,0,None
China,CHN,1000,None
China,CHN,1500,None
China,CHN,1750,None
China,CHN,1850,None
Congo,COG,-8000,None
Congo,COG,-6000,None
Congo,COG,-4000,None
Congo,COG,-2000,Minimal
Congo,COG,-1000,Minimal
Congo,COG,0,Minimal
Congo,COG,1000,Minimal
Congo,COG,1500,Common
Congo,COG,1750,Common
Congo,COG,1850,Common
Costa Rica,CRI,-8000,None
Costa Rica,CRI,-6000,None
Costa Rica,CRI,-4000,None
Costa Rica,CRI,-2000,None
Costa Rica,CRI,-1000,None
Costa Rica,CRI,0,None
Costa Rica,CRI,1000,None
Costa Rica,CRI,1500,None
Costa Rica,CRI,1750,Common
Costa Rica,CRI,1850,Common
Cote d'Ivoire,CIV,-8000,None
Cote d'Ivoire,CIV,-6000,None
Cote d'Ivoire,CIV,-4000,None
Cote d'Ivoire,CIV,-2000,None
Cote d'Ivoire,CIV,-1000,None
Cote d'Ivoire,CIV,0,None
Cote d'Ivoire,CIV,1000,None
Cote d'Ivoire,CIV,1500,None
Cote d'Ivoire,CIV,1750,None
