Entity;Code;Year;Share of described species that have been evaluated
All groups;;2020;6.1
Amphibians;;2020;86.9
Arachnids;;2020;0.3
Birds;;2020;100
Brown Algae;;2020;0.3
Corals;;2020;39.7
Crustaceans;;2020;4
Ferns and Allies;;2020;5.7
Fishes;;2020;60
Flowering Plants;;2020;13.1
Fungi and Protists;;2020;0.3
Green Algae;;2020;0.1
Gymnosperms;;2020;91.3
Horseshoe Crabs;;2020;100
Insects;;2020;1
Invertebrates;;2020;1.6
Lichens;;2020;0.3
Mammals;;2020;91.5
Molluscs;;2020;11
Mosses;;2020;1.3
Mushrooms etc.;;2020;0.3
Other Invertebrates;;2020;0.6
Plants;;2020;11.9
Red Algae;;2020;0.8
Reptiles;;2020;72.6
Velvet Worms;;2020;6
Vertebrates;;2020;73.9
