co,no,no2,o3,so2,pm2_5,pm10,nh3,date
367.17,0.0,38.39,28.61,1.07,14.27,20.87,8.61,2021-05-31 00:00:00
410.56,0.01,41.81,21.1,0.87,18.54,26.05,9.37,2021-05-31 01:00:00
413.9,0.03,38.39,18.06,0.55,19.81,28.37,7.66,2021-05-31 02:00:00
357.15,0.01,27.76,23.96,0.36,16.27,26.66,5.7,2021-05-31 03:00:00
257.02,0.0,14.22,44.7,0.33,10.66,23.21,4.37,2021-05-31 04:00:00
226.97,0.01,12.85,46.49,0.32,8.26,19.66,4.24,2021-05-31 05:00:00
220.3,0.31,14.4,50.78,0.32,7.38,16.01,3.9,2021-05-31 06:00:00
208.62,0.63,11.31,68.67,0.26,5.33,9.95,3.23,2021-05-31 07:00:00
236.99,1.36,15.59,66.52,0.46,5.29,9.25,4.88,2021-05-31 08:00:00
283.72,3.21,22.62,63.66,1.13,6.06,10.23,7.35,2021-05-31 09:00:00
250.34,2.4,13.88,82.25,1.64,3.89,6.26,4.75,2021-05-31 10:00:00
223.64,1.5,10.54,91.55,2.03,3.54,5.63,3.58,2021-05-31 11:00:00
208.62,0.99,8.82,97.28,2.21,3.47,5.5,2.91,2021-05-31 12:00:00
198.6,0.72,7.28,100.14,2.03,3.27,5.06,2.57,2021-05-31 13:00:00
195.27,0.63,6.6,101.57,1.85,3.29,4.85,2.5,2021-05-31 14:00:00
195.27,0.62,6.6,100.14,1.83,3.38,4.8,2.47,2021-05-31 15:00:00
198.6,0.66,7.54,97.28,1.86,3.57,4.89,2.6,2021-05-31 16:00:00
205.28,0.61,8.91,95.84,2.0,3.97,5.28,2.79,2021-05-31 17:00:00
206.95,0.37,9.34,92.98,2.03,4.33,5.62,2.66,2021-05-31 18:00:00
208.62,0.08,10.54,89.41,2.33,4.9,6.51,2.63,2021-05-31 19:00:00
208.62,0.0,10.54,84.4,2.44,5.37,7.25,2.44,2021-05-31 20:00:00
203.61,0.0,9.17,82.97,2.24,5.56,7.42,1.88,2021-05-31 21:00:00
205.28,0.0,10.54,68.67,1.43,6.03,8.0,1.88,2021-05-31 22:00:00
208.62,0.0,11.31,53.64,0.87,6.55,8.85,2.34,2021-05-31 23:00:00
205.28,0.0,10.2,47.92,0.69,6.91,9.57,2.91,2021-06-01 00:00:00
196.93,0.0,9.08,46.49,0.6,7.1,10.01,3.8,2021-06-01 01:00:00
191.93,0.0,8.82,42.2,0.49,7.16,10.16,4.43,2021-06-01 02:00:00
188.59,0.0,9.34,37.91,0.42,7.14,10.05,4.88,2021-06-01 03:00:00
188.59,0.01,10.71,32.54,0.37,7.03,9.73,5.26,2021-06-01 04:00:00
205.28,0.15,17.48,21.46,0.38,7.51,10.16,5.64,2021-06-01 05:00:00
240.33,4.14,26.05,12.7,0.46,8.67,11.41,5.57,2021-06-01 06:00:00
193.6,0.84,8.65,82.25,1.46,6.7,9.34,1.62,2021-06-01 07:00:00
193.6,1.13,6.51,87.98,1.49,6.58,9.6,1.73,2021-06-01 08:00:00
191.93,0.98,4.54,97.28,1.39,6.29,9.41,1.79,2021-06-01 09:00:00
