co,no,no2,o3,so2,pm2_5,pm10,nh3,date
171.9,0.0,3.56,54.36,0.44,5.47,9.04,1.27,2021-05-31 00:00:00
170.23,0.0,3.3,48.64,0.39,5.63,9.08,1.31,2021-05-31 01:00:00
168.56,0.0,3.0,45.78,0.37,5.88,9.14,1.28,2021-05-31 02:00:00
168.56,0.0,2.79,44.35,0.35,6.02,9.1,1.25,2021-05-31 03:00:00
166.89,0.0,2.7,42.56,0.34,6.0,8.99,1.24,2021-05-31 04:00:00
166.89,0.03,2.74,41.13,0.4,5.82,9.02,1.28,2021-05-31 05:00:00
168.56,0.34,2.83,42.2,0.56,5.67,9.21,1.38,2021-05-31 06:00:00
168.56,0.92,2.96,43.63,0.74,5.6,9.39,1.52,2021-05-31 07:00:00
166.89,1.52,3.13,43.63,0.87,5.76,9.7,1.74,2021-05-31 08:00:00
168.56,1.73,3.26,49.35,1.12,6.24,10.31,2.12,2021-05-31 09:00:00
173.57,0.95,2.66,77.25,1.68,10.11,13.83,2.57,2021-05-31 10:00:00
176.91,0.51,1.93,95.84,1.97,12.07,15.73,2.98,2021-05-31 11:00:00
178.58,0.3,1.46,113.01,2.35,12.44,15.94,3.36,2021-05-31 12:00:00
180.24,0.18,0.98,124.45,2.35,9.44,11.72,2.63,2021-05-31 13:00:00
180.24,0.14,0.84,127.32,2.18,8.61,10.26,2.0,2021-05-31 14:00:00
178.58,0.14,0.87,127.32,2.0,8.08,9.49,1.88,2021-05-31 15:00:00
176.91,0.17,1.06,124.45,1.79,7.6,8.92,1.98,2021-05-31 16:00:00
176.91,0.2,1.46,121.59,1.67,7.7,9.09,2.19,2021-05-31 17:00:00
176.91,0.18,1.82,118.73,1.61,8.0,9.47,2.34,2021-05-31 18:00:00
178.58,0.12,2.7,114.44,1.77,9.05,10.69,2.69,2021-05-31 19:00:00
183.58,0.03,3.86,108.72,2.18,10.88,12.78,3.17,2021-05-31 20:00:00
183.58,0.0,4.37,101.57,2.27,12.27,14.37,3.17,2021-05-31 21:00:00
181.91,0.0,4.8,94.41,2.12,15.46,17.74,2.5,2021-05-31 22:00:00
180.24,0.0,4.71,90.12,1.82,18.21,20.48,2.12,2021-05-31 23:00:00
176.91,0.0,4.16,83.69,1.3,16.97,19.15,1.98,2021-06-01 00:00:00
171.9,0.0,3.68,76.53,0.81,11.74,13.88,1.87,2021-06-01 01:00:00
168.56,0.0,3.47,69.38,0.56,7.84,9.94,1.66,2021-06-01 02:00:00
165.22,0.0,3.43,62.94,0.5,6.68,8.82,1.47,2021-06-01 03:00:00
165.22,0.0,3.51,56.51,0.55,7.01,9.35,1.46,2021-06-01 04:00:00
165.22,0.03,3.81,51.5,0.74,9.09,11.82,1.5,2021-06-01 05:00:00
168.56,0.41,4.24,48.64,1.0,12.38,15.55,1.55,2021-06-01 06:00:00
171.9,1.2,4.63,48.64,1.22,15.12,18.68,1.82,2021-06-01 07:00:00
176.91,1.82,4.88,52.21,1.51,17.24,21.03,2.38,2021-06-01 08:00:00
185.25,1.73,4.84,66.52,2.09,20.24,24.04,2.91,2021-06-01 09:00:00
191.93,0.82,3.3,98.71,2.86,20.3,23.38,3.2,2021-06-01 10:00:00
193.6,0.37,1.97,121.59,2.8,17.07,19.6,3.61,2021-06-01 11:00:00
193.6,0.24,1.46,134.47,2.62,14.18,16.38,3.96,2021-06-01 12:00:00
181.91,0.15,0.92,131.61,1.65,9.62,10.96,2.47,2021-06-01 13:00:00
176.91,0.13,0.76,127.32,1.24,7.46,8.43,1.88,2021-06-01 14:00:00
175.24,0.13,0.78,125.89,1.01,6.51,7.33,1.68,2021-06-01 15:00:00
173.57,0.15,0.96,125.89,0.9,5.75,6.44,1.55,2021-06-01 16:00:00
173.57,0.17,1.26,125.89,0.97,5.2,5.75,1.47,2021-06-01 17:00:00
173.57,0.15,1.61,128.75,1.27,5.23,5.73,1.5,2021-06-01 18:00:00
